,nickname,title,genre,content,age
25,secretrelation,비밀 사이,"순정,드라마",미웠던 사람이 좋아지는 건 한 순간! 두근두근 회사 로맨스 시작?!,15
26,outsiderclub,아싸클럽,"순정,드라마",'친구 없는 사람만 가입 가능!'  수상한 동아리 아싸클럽의 성장 스토리.,0
27,meetyou,너를 만나다,"순정,학원",어느 날 우연히 너를 만나 변화하는 나의 이야기,0
28,vampiresyndrome,뱀파이어 신드롬,"액션,판타지","뱀파이어의 피 묻은 손을 잡던 그 순간, 우리들의 복수가 시작됐다.",15
29,denomination,화폐개혁,"드라마,스릴러","최하층 밑바닥 삶 유일한, 그를 찾아온 1조 원의 상속 기회와 화.폐.개.혁!",0
30,ItaewonClass,이태원 클라쓰,드라마,"각자의 가치관이 어우러지는 이 곳, '이태원'. 이 거리를 살아가는 그들의 이야기",0
31,parrot,그녀의 앵무새,"순정,드라마",현실적인 삶을 사는 은행원 '진아'와 이상적인 삶을 추구하는 정체불명 앵무새 '호두'. 두 상극이 만나며 벌어지는 이야기.,0
32,drfine,닥터 파인의 하루,"드라마,판타지,순정",망자의 영혼을 수거하는 남자가 자기와 같은 일을 하는 옆 구역의 여자를 만나 펼쳐지는 삶과 사랑의 이야기,0
33,beheaded,단두(斷頭),"무협,액션","부모님의 원수를 갚기 위해 고전분투하는 단영, 단린, 두 오누이의 성장과 복수의 여정",19
34,haeosara,해오와 사라,"드라마,판타지",제주도 우도의 푸른 바다. 해녀와 인어의 특별한 인연이 시작된다.,0
35,sacreddivorce,"신성한, 이혼","드라마,지식","결혼은 아름답고 이혼은 치열하다. 누구나 지는 싸움, 이혼 소송.",15
36,extinction,멸종인간,"공포,스릴러","<관찰인간>, <생존인간>에 이은 세 번째 이야기. 인류는 멸종당하지 않기 위해 고군분투한다.",15
37,thisismyhome,우리집이거든요!,"순정,드라마",극한인생 서은우에게 찾아 온 거액의 상속! 그리고 상속 예정인 집에 살고 있는 정체모를 그 녀석들!,0
38,nege,학교대표,"스포츠,학원",진화된 축구 천재들의 네게(Nege) 도전기.,0
39,mirrorkill,거울 죽이기,"스릴러,드라마",자신과 똑같은 사람이 눈앞에 나타났다! 또 다른 나와 살아가기 위한 이야기,0
40,hellomyandroid,헬로 마이 안드로이드,"판타지,순정",내 아들이라고 주장하는 소년이 나타났다. 갑자기 시작되는 좌충우돌 SF 로맨스,0
41,getreadywithme,겟 레디 위드 미,"순정,지식","뷰티 크리에이터를 제안하는 지욱과, 관심 1도 없는 그림의 메이크업 로맨스",0
42,artist,아티스트,"드라마,코믹",어린이들과 다를 바 하나 없는 예술가들의 욕망이 펼쳐진다.,15
43,friendcontract,계약우정,"드라마,학원",두 고등학생의 '나'로 살아남기,15
44,Matchless,아비무쌍,"무협,판타지",하늘의 뜻을 아니 아비는 무쌍이다.,0
45,hellTemple,지옥사원,"드라마,판타지",인간이 된 악마의 사회 적응기! 그리고 그를 위협하는 존재들.,0
46,KingAndEmperor,왕 그리고 황제,"드라마,코믹","영혼이 바뀐 고종과 태종, 그들은 조선을 바꿀 수 있을까?",0
47,eathuman,인간을 먹는 성,"판타지,드라마",한번 들어가면 누구도 탈출할 수 없는 의문의 성. 그 성의 비밀은 무엇인가,0
48,iammother,나는 엄마다,"드라마,일상",현재 엄마인 사람들 혹은 아닌 사람들 모두 공감하는 엄마의 이야기,0
49,fatherrevenge,아버지의 복수는 끝이 없어라,"스릴러,드라마",할머니 집에서 찾아낸 아버지. 30년 간 묻혀있던 비극이 복수로 깨어났다.,0
50,endeavor,노력의 卍(만),"판타지,액션","세상을 지배하는 천중궐, 최정상까지 노오력만으로 올라가는 여정",0
51,chiwoo,죽어도! 치우,"액션,판타지",죽어도! 죽지 않고 더 강해지는 치우의 성장 모험기!,0
52,carefulempress,용의주도 황비,"순정,판타지",세계관 최강자 백룡… 폭군의 아내가 되다?,0
53,beastfriends,금수친구들,"코믹,일상",가난한 나무꾼과 사고뭉치 동물들이 만났다! 조선시대 집사의 처절하고 유쾌한 집사 라이프,15
54,gongchan,설공찬전,"순정,드라마",호러 소설 작가 설공찬이 우연히 마주친 아랫집 남자와 겪게 되는 미스터리한 로맨스,15
55,BreakerDrawing,Breaker.Drawing,"순정,판타지","이별을 그리는 남자, 사랑을 피우는 여자. 뗄레야 뗄 수 없는 사랑과 이별 이야기.",0
56,TellorNot,말하지 말까,"순정,드라마",첫사랑의 향기를 다시 기억하고 싶은 ‘한마리'와 향기 나는 남자 ‘길은수'가 서로 필요로 하는 이야기.,0
57,nohurt,해치지않아,드라마,"동물원을 살리기 위한, 동물 없는 미친 동물원 개장!",0
58,oneonetwo,하나하나둘,"순정,드라마",미래의 남편이 유령이 되어 나타났다?! 근데 나와의 과거를 기억 못 한다고?,0
59,colosseum,콜로세움,"액션,스릴러",압도적이고 거대한 그들의 힘과 부딪히는 특별한 한 명,15
60,4thgrade,4학년,"스릴러,드라마",날 바라보는 아이의 눈빛이 이상하게 느껴진다. ,0
61,kissmeplz,키스해주세요,"순정,드라마",키스 못하면 죽는 병에 걸린 남자의 생존을 위한 비밀 키스 계약,0
62,toycomplex,토이 콤플렉스,"순정,성인","혹시 오늘 밤, 나와 함께 보내줄 수 있나요?",19
63,bamboonotify,대나무숲에서 알립니다,"스릴러,학원","익명의 제보를 대신 전하는 '청록고 대나무숲', 누군가 나의 비밀을 폭로했다.",0
64,moneytree,돈나무,"스릴러,드라마","어느 날, 우리 집 뒷 마당에 돈이 열리는 나무가 자라났다!",0
65,loveway,우리가 사랑하는 방법,순정,그녀의 마음을 얻기 위해 아이돌 덕질에 뛰어들다!,0
66,TheHook,후크,"판타지,액션",마법사와 마도 공학자들의 끝없는 전쟁. 몰락한 네버랜딩을 구하기 위한 혁명이 시작된다.,0
67,HeavensSoul,헤븐즈 소울,"액션,판타지",괴생명체 크리쳐의 공격에 맞서는 소녀들의 이야기,0
68,ToTheEast,동쪽으로,"판타지,액션","문명이 멸망한 미래, 4명의 총잡이들이 전설 속 동쪽의 파라다이스를 찾아 떠난다.",0
69,pocha,쌍갑포차,"드라마,판타지","<2017 대한민국 만화대상> 우수상 수상. 늦은 밤, 낯선 곳에 나타난 의문의 포장마차. 그 곳에서 일어나는 이야기들",0
70,zeezii,이게뭐야,"코믹,성인",평범하지만 평범하지 않은 두 남자의 이야기,19
71,sseason,수의 계절,"판타지,순정","수없이 반복되는 계절, 하지만 그가 있던 단 한 번의 계절",0
72,blackbehemoth,블랙 베히모스,"판타지,액션",탈리스만이 되기 위한 시험에 도전하는 주인공의 힘겨운 전투,0
73,palehorse,창백한 말,"판타지,순정","1835년 프랑스, 마녀로 불리던 소녀의 핏빛 운명",0
74,alive,살어리랏다,"스릴러,미스터리",돈이 되는 거라면 뭐든지 낚는 김청산의 생존법을 공개한다.,15
75,hoguking,고교호구왕,"스포츠,학원",만인의 호구! 왕따 ‘한결’이 검도의 신을 만난 후 검도선수로 성장하는 이야기,0
76,starinschool,스타의 학교생활,"학원,순정","10대 스타들의 리얼 관찰 예능쇼, 그런데 국민 비호감 출연?!",0
77,miao,냥냐라냥냥,"일상,코믹",나만 없어 고양이 집사! 갑자기 생긴 고양이 집사들과의 좌충우돌 휴먼 다큐멘터리,0
78,MEMORIST,메모리스트,"미스터리,스릴러",기억을 읽는 초능력 형사 '동백'. 미스터리한 연쇄 살인사건을 맞닥뜨리다!,0
79,nextdoor,옆집남자,"순정,드라마",서른 살. 청춘의 한 가운데에 놓인 작가 지망생의 생계형 로맨스.,15
80,godbaby,신의 태궁,"순정,판타지","신의 아이를 낳아 기르는 여인과, 그를 사랑한 도깨비의 이야기",0
81,chaebol,재벌과의 인터뷰,"순정,드라마",재벌 납치 감금물 작가가 재벌남의 은인이 되었다?!,0
82,edam,이담,"스릴러,드라마",현실에서 도망치고 싶은 죄 많은 소녀의 다음 이야기,0
83,nineteen,19,"스릴러,미스터리","90년대 구석진 시골 마을, 인간을 향한 복수가 시작된다.",19
84,fivedisciple,샬롯에게는 다섯 명의 제자가 있다,"판타지,순정",세상을 구한 대마법사. 죽음에서 돌아와 새로운 인생을 살려는데 제자들이 이상하다.,0
85,speacialist,특별직,"액션,드라마",국민청원을 해결하기 위한 특별직. 호연은 임무 수행 중 과거의 숨겨진 진실들을 알게 된다.,0
86,dogsworld,개같은 세상,"판타지,드라마",개들은 알지 못하는 애완동물들의 이야기,0
87,excuseme,저기요 손님,"드라마,코믹",너무 다른 네 명의 절친이 뜬금없이 카페 동업하면서 벌어지는 좌충우돌 청춘드라마,0
88,blackwinter,블랙윈터,"순정,판타지","어느 새카만 겨울날, 소년은 저주 받았고 소녀는 죄를 지었다.",0
89,kingsfavors,승은이 망극하옵니다,"판타지,순정","""내 후궁이 되지 않겠나."" ""..네? 전 남잔데요?"" 이세계에 떨어진 승은이, 집에는 돌아갈 수 있을까.",0
90,hungrycity,배고픈 자들의 도시,"판타지,액션",오랜 잠에서 깨어난 뱀파이어가 마주한 것은... 다름 아닌 좀비?!,0
91,winterspring,겨울과 봄사이,"순정,학원",색청을 앓고 있는 하연에게 나타난 대비되는 색깔의 두 남자,0
92,AmazingRumor,경이로운 소문,"판타지,스릴러",영원불멸의 삶을 위해 지구로 내려온 사후세계 악한 영혼들. 그들을 잡는 카운터들의 이야기.,15
93,sweetsalty,단짠남녀,"순정,드라마",잘 먹는 여자와 못 먹는 남자의 달콤하고 짠내나는 이야기,0
94,guricomeback,구리의 구리구리 컴백,"코믹,일상","논픽션 좌충우돌, 돌아온 구리의 구리구리한 개그 일상툰",0
95,Frenemy,프레너미,"스포츠,드라마","거만한 천재 소년과 심약한 은둔 고수와의 만남, 재능과 노력만으론 최고가 될 수 없다!",0
96,daddy2,아빠는 변태중,"코믹,드라마","평범한 회사원이었던 아빠, 그런데 지금은? 다세대 주택에 사는 3세대가 벌이는 시트콤",0
97,cattoon,뽀짜툰,"코믹,일상",귀요미 냥이들과 함께 하는 유리네 일상 이야기,0
98,callmyname,불러줘 내 이름만,"순정,드라마",첫사랑을 따라 대학에 왔더니 내 강아지와 이름이 똑같은 선배가?!,0
99,TrashStudent,쓰레기 머학생,"일상,학원",다소 쓰레기 같은 대학생 작가의 일상을 다룬 만화. 수학을 싫어합니다.,0
100,unfinished,미완결,"성인,드라마",오랜 팬으로 동경하던 천재 소설가 선생님이 내 애인을 강렬히 원한다,19
101,ItaewonClass,이태원 클라쓰,드라마,"각자의 가치관이 어우러지는 이 곳, '이태원'. 이 거리를 살아가는 그들의 이야기",0
102,garden,그림자정원,"공포,드라마",기묘하고 아름다운 식물원. 그리고 당신을 기다리는 어둠의 이야기.,15
103,yulmuartari,열무와 알타리,"일상,코믹",우리의 평범하고 특별한 일상들이 누군가에게 공감과 위로가 되길 바라며…,0
104,rendezvous,랑데부,"액션,판타지",깨어나니 모든게 엉망이다. 전쟁? 외계의 침공? 뭐가 됐든 난 그저 개인적인 복수를 해야겠다.,0
105,greatchicken,닭은 의외로 위대하다,"드라마,판타지","닭과 고양이, 평범한 20대와 비범한 할머니의 좀비세상 서바이벌",0
106,instalove,인스타러브,"순정,학원","갑작스런 헤어짐을 통보받고 상처받은 율, 전남친에게 보란듯이 성공한 모습을 보여주기 위해 SNS 셀럽이 되기로 한다.",0
107,namnam,남남,"드라마,코믹",때론 정말 남이고 싶지만 남일 수 없는 이 관계,19
108,soultoyou,너에게 투 혼(魂)!,"학원,액션",남고생이 된 액션배우 옥세라. 어쩔 수 없지! 내가 네 학교생활을 책임져줄게!,0
109,onlylove,나만 아는 사랑,"순정,드라마",사랑을 고백하지 못하는 이들의 짝사랑 로맨스,0
110,one,ONE,"액션,학원",문제는 세상에 나쁜 놈들이 너무 많다는 거야. 이건 혁명이야.,0
111,darkness,어둠이 걷힌 자리엔,"미스터리,판타지",<묘진전>작가 신작. 19nn년 경성의 한구석에 자리한 특별한 가게. 그곳에 모이는 기기묘묘한 사연들,0
112,todaydrunken,오늘도 꽐랄라라,"드라마,순정",술은 잘해도 연애는 잘 못하는 말술녀 4인방의 취중연애담,15
113,kimonglife,키몽의 호구로운 생활,"코믹,일상","예쁜 나이 서른 살, 어딘가 모자란 청년들의 호구 같은 나날들",0
114,glassblock,유리의 벽,"순정,드라마",유복한 귀족 릴리. 그를 만난 순간부터가 시작이었다.,0
115,nodesires,작약만가 : 불환곡,"판타지,스릴러","비단위에 내 죽음이 몰아치는구나. 아, 희라! 돌아오지 못할 자여, 반벽의 노래로다.",0
116,princessbari,바리공주,"드라마,판타지",무당이 되기 위한 소녀와 아내를 찾아 떠도는 남자의 조선시대 귀신 이야기,0
117,HeavenToHell,헤븐 투 헬,"판타지,성인",단테의 신곡 속 세계관을 배경으로 펼쳐지는 성인 액션 판타지,19
118,ficnonfic,퀴퀴한 일기,"코믹,일상",즈질스럽고 퀴퀴한 언니의 쿰쿰한 일상다반사,0
119,weeklyboys,주간소년열애사,"순정,드라마","한 집에 사는 고등학생 5명의 '열애치정 드라마', 매주 금요일에 찾아갑니다.",0
120,pitch,피치(PITCH),"학원,스포츠","17세. 자신이 선택한 무게를 지고 오른다. 거친 호흡, 쏟아지는 땀. 철주의 계절은, 1도 더 높다.",0
121,rebirth,흔한 환생녀의 사정,"순정,판타지",흔한 환생녀 발레리의 철벽 로맨스!,0
122,todaypropose,오늘은 꼭 고백할 거야!,"학원,순정",겉바속촉 김단의 험난한 짝사랑 고백 성공기,0
123,southpole,어린(물고기 비늘),드라마,우연한 성공으로 극도의 압박감에 계약을 위반하면서까지 남극으로 떠난 작곡가는 그곳에서 더한 고통을 경험한다.,0
124,beastfriends,금수친구들,"코믹,일상",가난한 나무꾼과 사고뭉치 동물들이 만났다! 조선시대 집사의 처절하고 유쾌한 집사 라이프,15
125,choppy,차피,"순정,판타지",잡음 가득한 나의 세상에서 만난 단 하나의 고요함,0
126,toyou2091,너에게 가는 거리 2091km,"순정,드라마",홍콩과 서울을 오가는 두 사람의 달콤씁쓸한 성장로맨스,0
127,nohurt,해치지않아,드라마,"동물원을 살리기 위한, 동물 없는 미친 동물원 개장!",0
128,otherworld,이세계 전담반,"판타지,액션",어느날 평범한 일상에 판타지적인 현상이 일어나기 시작했다. 내 방에 엘프가 몰래 숨어살고 있다고?,0
129,waitU,너를 기다리는 날,"순정,판타지",10년 전 99일 간 실종되었던 하윤은 자신이 실종되었던 장소에서 기묘한 또래 남자아이를 만나게 된다.,0
130,actionpreschool,찬란한 액션 유치원,"코믹,액션",찬란하지만 결코 유치하지 않은 아이들의 우정과 평화의 유년 드라마 (※본격교육웹툰),0
131,debauchery,방탕일기,"드라마,일상","34살, 제대로 놀아본 적 없는 성인의 뒤늦은 오춘기",15
132,nocturne,경성야상곡,"드라마,순정","1928년 일제강점기 경성, 두 소녀의 뒤바뀐 운명",0
133,hippocrates,순정 히포크라테스,"순정,드라마","의대생이 된다는 것, 의대생의 순정이란?",0
134,grandmother,할매,"액션,스릴러",칠순을 앞둔 숙자. 어느 날 초주검이 되어 돌아온 손주를 본 순간 그녀의 삶은 송두리째 뒤집힌다.,15
135,driftprison,표류감옥,"스릴러,액션",내가 취업한 곳은 사상 최악의 교도소. 그곳에서 살아남아야 한다,0
136,windsword,풍검,"액션,판타지",마계의 힘으로 인간계를 없애려는 자들과 막으려는 자들의 치열한 싸움,0
137,shootingstar,별똥별이 떨어지는 그 곳에서 기다려,"판타지,순정",실종되는 별똥별들의 행방을 쫓는 마녀와 고양이의 이야기,0
138,runningwoman,달리는 여자,"드라마,순정","대학교 막학년에 찾아온 첫사랑, 복학생 달리의 대학교 로맨스!",0
139,weekendseabream,주말 도미 시식회,"액션,드라마",소소한 삶을 지키기 위한 그들의 전쟁,15
140,politics,여의주,드라마,취업 포기! 정치 도전! 당신의 정치는 무엇입니까? ,0
141,UnderRoom,반지하셋방,"일상,코믹",반지하에 살고 있는 자매의 좌충우돌 일상툰,0
142,grass_sound,풀 뜯어먹는 소리,"코믹,일상",서울 남자와 시골 여자의 몸에 좋고 맛도 좋은 귀촌 라이프,0
143,campuslife,멀리서 보면 푸른 봄,"드라마,순정",왜 사람들은 해피엔딩이 아닌 걸 보고 현실적이라고 말할까? 고단한 청춘들의 하드보일드 드라마,0
144,redstorm,레드스톰,"액션,무협","사막의 찐득찐득한 모래바람과, 그곳을 질주하는 전사들의 이야기",0
145,dirtymind,음란마귀지만 괜찮아!,"순정,코믹",음란하면 안돼? 야한상상만 하면 남자친구와의 관계가 깨지는 그녀의 러브 스토리,15
146,namgung,남궁세가 소공자,"무협,드라마",이세계를 평정하고 무림으로 돌아온 남궁서휘. 힘을 감춘 그의 행보가 무림을 흔든다.,0
147,serotonin,세로토닌,"스릴러,공포","좀비 때문에 세상이 망했다. 잘 됐다, 새로운 인생 시작이다.",0
148,bugplayer,나 홀로 버그로 꿀빠는 플레이어,"액션,판타지","성공할 수 있다면, 버그든 무엇이든 OK! 초고도비만 영주의 현생 도전기.",0
149,miao,냥냐라냥냥,"일상,코믹",나만 없어 고양이 집사! 갑자기 생긴 고양이 집사들과의 좌충우돌 휴먼 다큐멘터리,0
150,bangfamily,씨방것들,"드라마,순정","관종 패밀리의 막내, 첫사랑은 연예인! 그래도 평범하게 살고 싶어!",0
151,studycat,공부하는 고양이,"드라마,판타지","인생의 마지막 순간. 분명, 고양이는 공부를 하고 있었다.",0
152,gotowork,내일도 출근!,"순정,드라마",회사 최악의 까칠남 VS 결혼은 싫다며 도망간 전남친. 둘 중 누구를 선택해야지?!,0
153,life,인생막장,"드라마,액션",잔잔하던 인생에 폭풍우가 몰아친다. 막장으로 질주하는 두 남녀의 로드 무비,0
154,magesdaughter,대마법사의 딸,"판타지,순정",줄곧 나를 미워한 부모님은 친부모님이 아니었다. 내게 진짜 아빠가 따로 있다고 한다. 그래서 떠났다. 친아빠에게로.,0
155,surviveinharem,하렘생존기,"드라마,순정","17세기 오스만 제국 왕궁 하렘에서 벌어지는 나스챠와 아샤, 두 소녀의 우정과 욕망 이야기.",15
156,bunnysboys,바니와 오빠들,"순정,코믹","흑역사 첫 연애를 끝낸 뒤, 자꾸만 남자들이 꼬이는 중! 누가 똥차고 누가 벤츠일까?",0
157,magicaltablet,당신도 보정해 드릴까요?,"드라마,판타지",사진을 보정하면 뭐든지 가능한 ‘마법의 타블렛'을 갖게 된 한 사진작가의 이야기,0
158,hapil,하필 너야?!,"드라마,순정",불의의 사고로 고양이가 된 그녀. 운명의 그를 만나고 사람이 될 수 있을까?,0
159,melancholy,유색의 멜랑꼴리,"드라마,일상",“이 결혼 용납 못 해!”  떨어지는 꽃잎 사이로 벌어진 난투극. 34살 유도완의 결혼식은 그렇게 망했다.,0
160,monsterbutcher,요괴백정,"액션,판타지",어머니의 복수를 위해 도깨비의 팔을 달고 요괴들을 사냥하는 요괴백정의 액션활극!,0
161,whatasadlife,슬프게도 이게 내 인생,"코믹,일상",어? 사회생활이 원래 이런가? 천방지축 사회초년생 슬이의 다이나믹 인생!,0
162,nightperfume,밤의 향,"순정,성인",당신의 살내음과 여름밤의 향기를 난 평생 잊지 않을 거에요,19
163,favorite,취향저격 그녀,"순정,드라마",그의 심장을 저격하기 위해 뭉친 둘의 비밀스런 동거 라이프!,0
164,BurningEffect,버닝 이펙트,"액션,판타지",'죄를 짓는 자는 죽는다.' 법을 집행하는 자와 세상을 뒤엎으려는 자들의 치열한 싸움,0
165,ficnonfic,퀴퀴한 일기,"코믹,일상",즈질스럽고 퀴퀴한 언니의 쿰쿰한 일상다반사,0
166,parody,채널뽁스,"코믹,지식",상상 그 이상의 요절복통 코미디 멀티플렉스 <채널뽁스>,0
